neuronsPerLayer,hiddenLayers,gen,score,count
1,1,0,20.0,1
1,1,0,21.0,1
1,1,0,22.0,1
1,1,0,26.0,2
1,1,0,28.0,4
1,1,0,29.0,1
1,1,0,31.0,1
1,1,0,32.0,1
1,1,0,33.0,4
1,1,0,34.0,1
1,1,0,35.0,3
1,1,0,38.0,2
1,1,0,40.0,1
1,1,0,42.0,1
1,1,0,45.0,1
1,1,1,23.0,2
1,1,1,25.0,1
1,1,1,26.0,1
1,1,1,27.0,2
1,1,1,28.0,2
1,1,1,29.0,2
1,1,1,30.0,2
1,1,1,31.0,2
1,1,1,32.0,1
1,1,1,34.0,2
1,1,1,35.0,3
1,1,1,36.0,1
1,1,1,40.0,1
1,1,1,41.0,1
1,1,1,43.0,2
1,1,2,13.0,1
1,1,2,26.0,1
1,1,2,28.0,1
1,1,2,29.0,2
1,1,2,30.0,2
1,1,2,32.0,4
1,1,2,33.0,3
1,1,2,34.0,1
1,1,2,35.0,1
1,1,2,37.0,1
1,1,2,38.0,2
1,1,2,39.0,1
1,1,2,40.0,1
1,1,2,42.0,2
1,1,2,47.0,1
1,1,2,51.0,1
1,1,3,19.0,1
1,1,3,21.0,1
1,1,3,27.0,1
1,1,3,29.0,1
1,1,3,30.0,1
1,1,3,31.0,1
1,1,3,32.0,1
1,1,3,33.0,2
1,1,3,34.0,2
1,1,3,35.0,2
1,1,3,36.0,1
1,1,3,37.0,1
1,1,3,39.0,2
1,1,3,41.0,2
1,1,3,42.0,1
1,1,3,43.0,1
1,1,3,44.0,1
1,1,3,45.0,1
1,1,3,47.0,2
1,1,4,23.0,1
1,1,4,25.0,1
1,1,4,27.0,1
1,1,4,30.0,1
1,1,4,33.0,3
1,1,4,36.0,3
1,1,4,38.0,2
1,1,4,39.0,2
1,1,4,41.0,1
1,1,4,42.0,1
1,1,4,43.0,2
1,1,4,44.0,2
1,1,4,45.0,1
1,1,4,48.0,1
1,1,4,49.0,1
1,1,4,52.0,1
1,1,4,54.0,1
1,1,5,25.0,1
1,1,5,27.0,1
1,1,5,29.0,2
1,1,5,33.0,5
1,1,5,35.0,1
1,1,5,36.0,1
1,1,5,38.0,1
1,1,5,39.0,1
1,1,5,41.0,1
1,1,5,42.0,4
1,1,5,43.0,1
1,1,5,44.0,1
1,1,5,46.0,1
1,1,5,48.0,1
1,1,5,49.0,2
1,1,5,50.0,1
1,1,6,23.0,1
1,1,6,24.0,1
1,1,6,31.0,1
1,1,6,32.0,1
1,1,6,34.0,1
1,1,6,35.0,1
1,1,6,36.0,2
1,1,6,37.0,1
1,1,6,38.0,2
1,1,6,39.0,1
1,1,6,40.0,5
1,1,6,42.0,2
1,1,6,43.0,2
1,1,6,44.0,2
1,1,6,48.0,1
1,1,6,54.0,1
1,1,7,28.0,1
1,1,7,31.0,1
1,1,7,32.0,1
1,1,7,33.0,2
1,1,7,34.0,1
1,1,7,35.0,2
1,1,7,37.0,2
1,1,7,38.0,1
1,1,7,39.0,2
1,1,7,40.0,1
1,1,7,41.0,1
1,1,7,43.0,2
