gen,score,count
0,16.0,1
0,20.0,2
0,21.0,1
0,22.0,3
0,28.0,2
0,29.0,1
0,30.0,2
0,32.0,1
0,33.0,1
0,34.0,1
0,35.0,3
0,36.0,1
0,39.0,1
0,40.0,1
0,41.0,1
0,42.0,1
0,43.0,1
0,52.0,1
1,21.0,1
1,22.0,1
1,23.0,1
1,25.0,2
1,26.0,1
1,28.0,1
1,29.0,1
1,30.0,1
1,31.0,1
1,32.0,3
1,33.0,2
1,34.0,2
1,35.0,1
1,36.0,1
1,37.0,1
1,38.0,2
1,39.0,1
1,45.0,1
1,49.0,1
2,20.0,1
2,22.0,1
2,24.0,1
2,26.0,1
2,29.0,3
2,30.0,1
2,31.0,3
2,32.0,1
2,33.0,1
2,34.0,2
2,35.0,1
2,36.0,1
2,38.0,2
2,39.0,2
2,40.0,1
2,41.0,1
2,42.0,1
2,43.0,1
3,17.0,1
3,21.0,1
3,23.0,2
3,24.0,1
3,28.0,2
3,29.0,1
3,30.0,3
3,31.0,1
3,34.0,2
3,35.0,2
3,37.0,1
3,38.0,2
3,40.0,2
3,41.0,1
3,42.0,1
3,45.0,1
3,46.0,1
4,23.0,1
4,25.0,1
4,27.0,2
4,29.0,2
4,32.0,1
4,33.0,3
4,34.0,2
4,36.0,2
4,37.0,2
4,38.0,1
4,41.0,1
4,45.0,2
4,47.0,1
4,49.0,1
4,50.0,1
4,51.0,1
4,55.0,1
5,27.0,1
5,29.0,2
5,31.0,1
5,32.0,2
5,33.0,1
5,36.0,1
5,37.0,3
5,38.0,1
5,39.0,1
5,40.0,1
5,42.0,4
5,44.0,3
5,46.0,1
5,47.0,2
5,51.0,1
6,26.0,3
6,27.0,1
6,30.0,1
6,31.0,1
6,34.0,1
6,35.0,1
6,37.0,4
6,38.0,1
6,39.0,3
6,40.0,3
6,44.0,1
6,46.0,4
6,48.0,1
7,31.0,2
7,32.0,2
7,33.0,1
7,34.0,1
7,35.0,3
7,36.0,4
7,37.0,2
7,38.0,1
7,39.0,3
7,41.0,1
7,42.0,1
7,43.0,1
7,44.0,1
7,46.0,1
7,48.0,1
8,26.0,2
8,27.0,1
8,28.0,1
8,31.0,4
8,32.0,2
8,33.0,1
8,34.0,2
8,35.0,1
8,36.0,1
8,39.0,1
8,40.0,2
8,41.0,1
8,42.0,2
8,43.0,1
8,46.0,1
8,48.0,1
8,50.0,1
9,25.0,1
9,26.0,1
9,28.0,2
9,30.0,2
9,31.0,1
9,33.0,1
9,34.0,1
9,35.0,3
9,37.0,3
9,38.0,1
9,39.0,1
9,40.0,3
9,41.0,1
9,44.0,2
9,45.0,1
9,48.0,1
10,26.0,1
10,27.0,1
10,28.0,1
10,29.0,1
10,31.0,1
10,33.0,1
10,34.0,1
10,36.0,2
10,37.0,1
10,38.0,1
10,39.0,2
10,40.0,1
10,42.0,2
10,43.0,2
10,45.0,3
10,47.0,1
10,48.0,2
10,52.0,1
11,33.0,1
11,34.0,1
11,35.0,1
11,36.0,1
